기관명,분류,종별,주소,좌표X,좌표Y,전화번호,출처
씨유은계럭스나인점,편의점,,"경기도 시흥시 은계중앙로 247, 1층 126호 일부호 (은행동)",126.8032342,37.44588,,경기데이터드림
씨유은계호반써밋점,편의점,,"경기도 시흥시 은계남로 12, 판매시설동 1층 188호 일부호 (은행동, 시흥은계 호반 써밋플레이스)",126.8037071,37.4351025,,경기데이터드림
GS25시흥누리점,편의점,,"경기도 시흥시 미산로143번길 12, 2층 일부호 (미산동)",126.793114,37.4172648,,경기데이터드림
씨유시흥검바위본점,편의점,,"경기도 시흥시 검바위2로 51-1, 1층 101호 일부호 (은행동, 진성빌라)",126.79661,37.4337355,,경기데이터드림
씨유정왕옥터로점,편의점,,"경기도 시흥시 옥터로 44, 101,102호 (정왕동)",126.6913565,37.3441341,,경기데이터드림
씨유은계꽃길점,편의점,,"경기도 시흥시 은계로338번길 20, 1층 일부호 (대야동)",126.7972899,37.4504778,,경기데이터드림
씨유시화평안점,편의점,,"경기도 시흥시 중심상가로 334, 104호 (정왕동)",126.7489791,37.3362394,,경기데이터드림
세븐일레븐뉴시흥호현로점,편의점,,"경기도 시흥시 호현로21번길 19-1, 1층 일부호 (신천동)",126.7823702,37.4429699,,경기데이터드림
이마트24R시화유통상가점,편의점,,"경기도 시흥시 공단1대로 204, 시화유통상가  지원상가동 1층 101호 일부호 (정왕동)",126.7238219,37.3379338,,경기데이터드림
세븐일레븐능곡신안점,편의점,,"경기도 시흥시 승지로 7, 상가동 1층 102호 일부호 (능곡동, 시흥능곡 신안인스빌아파트)",126.8088381,37.3650786,,경기데이터드림
세븐일레븐배곧로얄점,편의점,,"경기도 시흥시 서울대학로264번길 26-29, 다인 로얄팰리스 배곧5차 1층 111호 일부호 (배곧동)",126.7270592,37.3668168,,경기데이터드림
씨유정왕삼성점,편의점,,"경기도 시흥시 정왕신길로139번길 5, 삼성아파트 상가동 1층 101호 일부호 (정왕동)",126.7344064,37.353939,,경기데이터드림
씨유목감로얄점,편의점,,"경기도 시흥시 목감둘레로 253-5, 목감로얄팰리스2 1층 107,108호 (조남동)",126.8612753,37.3806066,,경기데이터드림
씨유오이도빌리지,편의점,,"경기도 시흥시 오이도1길 26-1, 1층 일부호 (정왕동)",126.6902043,37.3420892,,경기데이터드림
세븐일레븐시흥하중동점,편의점,,"경기도 시흥시 연성로13번길 3, 조은프라자 1층 101호 일부호 (하중동)",126.8047643,37.3904462,,경기데이터드림
세븐일레븐시흥오이도점,편의점,,"경기도 시흥시 오이도5길 19, 1층 101호 일부호 (정왕동, 초원주택)",126.6886745,37.3426195,,경기데이터드림
씨유정왕역전로점,편의점,,"경기도 시흥시 봉우재로69번길 16, 1층 일부호 (정왕동)",126.745418,37.3491694,,경기데이터드림
씨유시흥행운점,편의점,,"경기도 시흥시 군자로 474, 삼성프라자 1층 101호 일부호 (거모동)",126.783147,37.3472228,,경기데이터드림
씨유배곧헤리움점,편의점,,"경기도 시흥시 서울대학로264번길 50, 배곧헤리움 어반크로스2차 B동 1층 123호 일부호 (배곧동)",126.7287655,37.3667198,,경기데이터드림
지에스25신천신일점,편의점,,"경기도 시흥시 시흥대로1073번길 24, 가동 1층 101호 일부호 (신천동, 롯데빌라)",126.7905209,37.4321848,,경기데이터드림
이마트24매화산단점,편의점,,"경기도 시흥시 매화산단2길 31, 티엔에스 프라자 1층 108호 일부호 (도창동)",126.8202991,37.4127732,,경기데이터드림
씨유서해2차점,편의점,,"경기도 시흥시 정왕신길로49번길 19, 서해아파트 상가동 1층 106, 107호 일부호 (정왕동)",126.7273133,37.3596616,,경기데이터드림
지에스25매화스마트점,편의점,,"경기도 시흥시 매화산단3길 1, 1층 132호 일부호 (매화동)",126.8203116,37.413891,,경기데이터드림
세븐일레븐시흥배곧로데오점,편의점,,"경기도 시흥시 배곧5로 74, 지음프라자 ll 1층 104호 일부호 (배곧동)",126.7353832,37.3823023,,경기데이터드림
지에스시화공고점,편의점,,"경기도 시흥시 정왕천로 395, 신양빌딩 1층 일부호 (정왕동)",126.7509174,37.3433905,,경기데이터드림
지에스(GS)25시흥군자점,편의점,,"경기도 시흥시 군자로533번길 3-9, 가동 1층 102호 일부호 (거모동, 이림하이텍빌)",126.7855678,37.344344,,경기데이터드림
세븐일레븐정왕센터점,편의점,,"경기도 시흥시 정왕대로 210, 성담스퀘어 1층 일부호 (정왕동)",126.7368812,37.3459328,,경기데이터드림
지에스25장곡푸르지오점,편의점,,"경기도 시흥시 진말로 10-1, 연성3차대우아파트 상가동 1층 105호 일부호 (장곡동)",126.785836,37.3780028,,경기데이터드림
지에스25거모행복점,편의점,,"경기도 시흥시 도일로135번길 16-1, 1층 102호 일부호 (거모동, 진아하이츠빌라)",126.7836014,37.3433586,,경기데이터드림
지에스25거북섬써밋점,편의점,,"경기도 시흥시 거북섬남로 45, 근린생활시설동 1층 108(일부)호 (정왕동, 호반써밋 더퍼스트오션)",126.6859198,37.323798,,경기데이터드림
지에스25목감본점,편의점,,"경기도 시흥시 목감중앙로 19, 102,103,104호 일부호 (조남동, 가온수플)",126.8551152,37.3771299,,경기데이터드림
지에스25연꽃마을점,편의점,,"경기도 시흥시 하상로 35, 2동 1층 일부호 (하상동)",126.8124144,37.3939252,,경기데이터드림
이마트24오이도중앙로점,편의점,,"경기도 시흥시 오이도중앙로36번길 6-9, 1층 101(일부)호 (정왕동, 세진빌라)",126.6892908,37.3462021,,경기데이터드림
세븐일레븐시흥큰솔로점,편의점,,"경기도 시흥시 큰솔로42번길 2, 1층 일부호 (정왕동)",126.7525558,37.3409762,,경기데이터드림
지에스25장현데시앙점,편의점,,"경기도 시흥시 진말1로 30, 근린생활시설동 지1층 3호 일부호 (장곡동, 시흥장현 데시앙)",126.7907673,37.3760855,,경기데이터드림
세븐일레븐시흥우성점,편의점,,"경기도 시흥시 정왕천로 446, 우성빌딩 1층 일부호 (정왕동)",126.7546551,37.3467402,,경기데이터드림
씨유시흥미산점,편의점,,"경기도 시흥시 미산로144번길 2, 건양빌딩 1층 일부호 (미산동)",126.792506,37.4182257,,경기데이터드림
씨유은계주공7단지점,편의점,,"경기도 시흥시 은계중앙로 37, 상가동 1층 103호일부호 (은행동, 시흥은계엘에이치7단지)",126.8009067,37.4335897,,경기데이터드림
지에스25시화드림점,편의점,,"경기도 시흥시 정왕대로 350, 월드타운 108호 일부호 (정왕동)",126.7493315,37.3382607,,경기데이터드림
씨유웨이브엠웨스트,편의점,,"경기도 시흥시 거북섬로 112, 웨이브엠 웨스트 1층 117호 일부호 (정왕동)",126.6779667,37.3203178,,경기데이터드림
지에스25시화영남점,편의점,,"경기도 시흥시 중심상가로 228, 영남 6차아파트 상가동 상가동 101호 일부호 (정왕동)",126.7393008,37.3422258,,경기데이터드림
지에스25정왕보성점,편의점,,"경기도 시흥시 소망공원로 323, 보성스퀘어원지식산업센터 1층 118호 일부호 (정왕동)",126.7325786,37.3282922,,경기데이터드림
씨유시흥은계센터점,편의점,,"경기도 시흥시 수인로3247번길 19, 101(일부)호 (은행동)",126.7980176,37.4367274,,경기데이터드림
씨유시흥제이엘타워점,편의점,,"경기도 시흥시 은계중앙로306번길 71, 1층 108(일부)호 (대야동, 제이엘 타워)",126.7954688,37.4517739,,경기데이터드림
씨유 정왕아이비스점,편의점,,"경기도 시흥시 역전로301번길 24, 101호 (정왕동)",126.7369857,37.3523422,,경기데이터드림
세븐일레븐 시흥군자로점,편의점,,"경기도 시흥시 군자로 520, 114호 (거모동)",126.784884,37.3438261,,경기데이터드림
지에스25뉴시흥행복점,편의점,,"경기도 시흥시 복지로91번길 7, 국원빌딩 1층 일부호 (대야동)",126.7906138,37.4474904,,경기데이터드림
GS25시흥대우점,편의점,,"경기도 시흥시 은행로 280, 1201호 (은행동, 상가1동)",126.7973864,37.4425825,,경기데이터드림
씨유시흥거모스타,편의점,,"경기도 시흥시 군자로253번길 3, 1층 일부호 (거모동)",126.7702644,37.363594,,경기데이터드림
씨유은계한양수자인점,편의점,,"경기도 시흥시 은계남로 11, 상가1동 108호 일부호 (은행동, 시흥은계한양수자인더클래스)",126.8024931,37.4343743,,경기데이터드림
지에스25배곧전원점,편의점,,"경기도 시흥시 배곧전원로 18-24, 1층 일부호 (배곧동)",126.7286018,37.3782923,,경기데이터드림
씨유시흥목감호반점,편의점,,"경기도 시흥시 목감남서로 38, 418동 1층 113호 (조남동, 호반베르디움 더 레이크)",126.8489219,37.3762577,,경기데이터드림
세븐일레븐거북섬점,편의점,,"경기도 시흥시 거북섬5길 4, 센터프라자 1층 121호 일부호 (정왕동)",126.6833755,37.322149,,경기데이터드림
세븐일레븐시흥은행2점,편의점,,"경기도 시흥시 은행로149번길 12, 1층 일부호 (은행동)",126.7981184,37.4440921,,경기데이터드림
세븐일레븐능곡점,편의점,,"경기도 시흥시 승지로 73, 1층 102,103호 (능곡동)",126.8105603,37.370623,,경기데이터드림
세븐일레븐오이도등대점,편의점,,"경기도 시흥시 오이도로 185, 1층 일부호 (정왕동)",126.6876052,37.3444149,,경기데이터드림
이마트24배곧아브뉴프랑,편의점,,"경기도 시흥시 서울대학로278번길 8, 시흥배곧 아브뉴프랑 센트럴 레드 1층 109호 일부호 (배곧동)",126.7265668,37.3696799,,경기데이터드림
세븐일레븐시흥월곶풍림점,편의점,,"경기도 시흥시 월곶중앙로 11, 상가동동 103,105,106호 (월곶동, 일부)",126.7424699,37.386359,,경기데이터드림
세븐일레븐시흥도원초교점,편의점,,"경기도 시흥시 수인로3413번길 33, 기원빌딩 1층 일부호 (신천동)",126.7783682,37.4394483,,경기데이터드림
지에스25장현스타점,편의점,,"경기도 시흥시 장현능곡로 15, 승호프라자 B103호일부호 (장곡동)",126.7921404,37.373002,,경기데이터드림
씨유은계프라자점,편의점,,"경기도 시흥시 은계번영길 11, 은계프라자 1층 103호 (은행동)",126.8021935,37.4374281,,경기데이터드림
지에스25시흥마유로점,편의점,,"경기도 시흥시 마유로423번길 20, 1층 101호 (정왕동)",126.7391432,37.3533657,,경기데이터드림
씨유시흥환승센터점,편의점,,"경기도 시흥시 둔대로 27-5, 1층 105호 일부호 (광석동)",126.8084526,37.3824637,,경기데이터드림
세븐일레븐(정왕8호점),편의점,,"경기도 시흥시 봉우재로 57 (정왕동, 환영(프))",126.7459743,37.3477308,,경기데이터드림
세븐일레븐(거모점),편의점,,"경기도 시흥시 한우물로 1, 1층 (거모동)",126.7848152,37.342753,,경기데이터드림
씨유 시화라성점,편의점,,"경기도 시흥시 산기대학로 29, 1층 (정왕동)",126.7149931,37.3510356,,경기데이터드림
세븐일레븐시흥무진본점,편의점,,"경기도 시흥시 중심상가로 348, 무진아파트 상가동 1층 103호 일부호 (정왕동)",126.7501377,37.3355166,,경기데이터드림
세븐일레븐(정왕7호점),편의점,,경기도 시흥시 큰솔로 82 (정왕동),126.7556181,37.3441143,,경기데이터드림
세븐일레븐(정왕6호점),편의점,,경기도 시흥시 정왕천로369번길 1 (정왕동),126.7488486,37.3414124,,경기데이터드림
씨유대야센텀하임점,편의점,,"경기도 시흥시 비둘기공원7길 10, 상가동 106호 일부호 (대야동, e편한세상 시흥 센텀하임)",126.7924043,37.4446439,,경기데이터드림
세븐일레븐(정왕5호점),편의점,,경기도 시흥시 정왕천로423번길 1 (정왕동),126.7526384,37.3451771,,경기데이터드림
씨유은계우미린레이크점,편의점,,"경기도 시흥시 계수로 19, 상가동 1층 104호 (계수동, 시흥은계우미린레이크)",126.8026473,37.448211,,경기데이터드림
세븐일레븐(정왕2호점),편의점,,경기도 시흥시 평안상가4길 22 (정왕동),126.7495987,37.3375053,,경기데이터드림
세븐일레븐시흥정왕1동점,편의점,,"경기도 시흥시 중심상가로 317, 1층 일부호 (정왕동)",126.7476562,37.3375831,,경기데이터드림
씨유시흥성원점,편의점,,"경기도 시흥시 은행로149번길 1, 시흥성원아파트 상가동 104호 일부호 (은행동)",126.7993953,37.4441537,,경기데이터드림
씨유시흥신천대야점,편의점,,"경기도 시흥시 비둘기공원5길 16, 대야 프라자 1층 102호 일부호 (대야동)",126.7900701,37.4428182,,경기데이터드림
이마트24시흥정왕큰솔로점,편의점,,"경기도 시흥시 큰솔로52번길 9, 1층 일부호 (정왕동)",126.7541094,37.3414187,,경기데이터드림
세븐일레븐 시흥매화중앙점,편의점,,"경기도 시흥시 매화1로 61, 109동 101호 (매화동)",126.8084111,37.4152642,,경기데이터드림
지에스(GS)25배곧한신점,편의점,,"경기도 시흥시 배곧4로 106-26, 상가1동 1층 1호 일부호 (배곧동, 시흥배곧한신더휴)",126.7313293,37.3722258,,경기데이터드림
씨유시흥도일로점,편의점,,"경기도 시흥시 도일로112번안길 6-2, 1층 101호 일부호 (거모동, 효경맨션)",126.7851713,37.3409164,,경기데이터드림
씨유은행광장점,편의점,,"경기도 시흥시 은행로155번길 5, 한솔빌딩 1층 102호 일부호 (은행동)",126.7989172,37.4445024,,경기데이터드림
이마트24오이도뉴플러스점,편의점,,"경기도 시흥시 오이도중앙로 35-1, 1층 일부호 (정왕동)",126.6899709,37.3448998,,경기데이터드림
씨유시흥센트럴헤센점,편의점,,"경기도 시흥시 월동중앙로 52-4, 1층 일부호 (월곶동)",126.7676278,37.3804062,,경기데이터드림
이마트24 정왕대림점,편의점,,"경기도 시흥시 정왕대로118번길 34, 대림상가동 1층 105호 일부호 106호 일부호 (정왕동, 대림아파트)",126.7260435,37.3491614,,경기데이터드림
이마트24알시화타크라점,편의점,,"경기도 시흥시 옥구천동로 218, 타원타크라 6차 지식산업센터 1층 B125호 일부호 (정왕동)",126.7182225,37.3433953,,경기데이터드림
세븐일레븐시흥능곡점,편의점,,"경기도 시흥시 승지로60번길 17, 현대프라자 1층 103호 일부, 104호 일부호 (능곡동)",126.8125426,37.3687417,,경기데이터드림
씨유정왕원룸까페점,편의점,,"경기도 시흥시 정왕천로389번길 11, 1층 (정왕동)",126.7493932,37.3434079,,경기데이터드림
지에스(GS)25신천현대점,편의점,,"경기도 시흥시 신천천동로51번길 13, 미래빌딩 1층 일부호 (신천동)",126.7834271,37.4364505,,경기데이터드림
지에스(GS)25시흥인하점,편의점,,"경기도 시흥시 군자로 467, 나동 1층 일부호 (거모동)",126.7827564,37.3479325,,경기데이터드림
씨유장현금강센트럴,편의점,,"경기도 시흥시 장현천로 133, 623동 지하2층 B205호 일부, B206호 일부호 (군자동, 시흥 장현 금강펜테리움 센트럴파크)",126.8044284,37.3668915,,경기데이터드림
세븐일레븐군서희망점,편의점,,"경기도 시흥시 봉우재로23번길 10, 1층 일부호 (정왕동)",126.7428897,37.3457191,,경기데이터드림
지에스25시흥소래산점,편의점,,"경기도 시흥시 호현로85번길 10, 1층 (대야동)",126.7868592,37.4476211,,경기데이터드림
씨유신천본점,편의점,,"경기도 시흥시 신천로80번길 24, 지1층 B03호 일부호 (신천동)",126.7888811,37.4370513,,경기데이터드림
씨유능곡마을,편의점,,"경기도 시흥시 목실길 3-1, 1층 103호 일부호 (능곡동)",126.8137998,37.3708222,,경기데이터드림
씨유(CU)시흥배곧프라자점,편의점,,"경기도 시흥시 서울대학로278번길 19-14, 배곧프라자 1층 109호 일부호 (배곧동)",126.7286625,37.3701623,,경기데이터드림
지에스(GS)25시흥월곶점,편의점,,"경기도 시흥시 월곶중앙로46번길 27, 덕신빌딩 1층 일부호 (월곶동)",126.7415247,37.3904812,,경기데이터드림
이마트24R시흥삼호주유소점,편의점,,"경기도 시흥시 시화벤처로 358, 주건축물제1동 1층 일부호 (정왕동)",126.7158753,37.3150587,,경기데이터드림
씨유매화삼거리,편의점,,"경기도 시흥시 매화로 48, 1층 일부호 (매화동)",126.8144934,37.4149751,,경기데이터드림
씨유정왕동남점,편의점,,"경기도 시흥시 정왕대로28번길 31, 동남아파트 상가동 1층 101호 일부호 (정왕동)",126.7186442,37.3539081,,경기데이터드림
지에스25시흥능곡역점,편의점,,"경기도 시흥시 승지로59번길 8, 1층 101호 일부, 102호 일부호 (능곡동)",126.8092047,37.3694343,,경기데이터드림
이마트24시흥시청역점,편의점,,"경기도 시흥시 광석3로 48, 1층 일부호 (광석동)",126.8075849,37.3834682,,경기데이터드림
라온프렌즈편의점,편의점,,"경기도 시흥시 배곧4로 32-19, 3층 301호 일부호 (배곧동)",126.7262402,37.3772853,,경기데이터드림
씨유시흥옹골진점,편의점,,"경기도 시흥시 새재로7번길 16, 1층 일부호 (장현동)",126.8002633,37.3812528,,경기데이터드림
이마트24배곧한신점,편의점,,"경기도 시흥시 배곧4로 106-26, 상가2동 1층 6호 일부호 (배곧동, 시흥배곧한신더휴)",126.7313293,37.3722258,,경기데이터드림
씨유은계퍼스트점,편의점,,"경기도 시흥시 은계남로 12, 1층 131호 일부호 (은행동, 시흥은계 호반 써밋플레이스)",126.8037071,37.4351025,,경기데이터드림
이마트24R뉴배곧건영테크노점,편의점,,"경기도 시흥시 서울대학로 59-49, 건영테크노밸리 1층 127호 일부호 (배곧동)",126.7085339,37.3597177,,경기데이터드림
세븐일레븐시흥은계태산점,편의점,,"경기도 시흥시 은계번영길 1, 태산W타워 1층 101호 일부호 (은행동)",126.8016249,37.4365775,,경기데이터드림
지에스25거북섬더웰점,편의점,,"경기도 시흥시 엠티브이북로 51-15, 1층 102호 일부호 (정왕동)",126.6874994,37.3301365,,경기데이터드림
세븐일레븐시흥은계번영점,편의점,,"경기도 시흥시 은계번영길 21, 은계 유테라스 1층 104호 일부호 (은행동)",126.8033937,37.4372099,,경기데이터드림
씨유논곡사랑방점,편의점,,"경기도 시흥시 논곡길 1, 논현빌딩 1층 일부호 (논곡동)",126.8559435,37.3938548,,경기데이터드림
이마트24시흥스타점,편의점,,"경기도 시흥시 다솜마을2길 13, 1층 일부호 (정왕동)",126.7413069,37.3504231,,경기데이터드림
씨유배곧엠플러스점,편의점,,"경기도 시흥시 서울대학로 59-47, 1층 136호 일부, 137호 일부호 (배곧동)",126.7077839,37.3601724,,경기데이터드림
세븐일레븐시흥연성빌딩점,편의점,,"경기도 시흥시 인선1길 8, 1층 106호 일부호 (장곡동)",126.7881967,37.377999,,경기데이터드림
세븐일레븐시흥하늘채점,편의점,,"경기도 시흥시 시청로 79, S001동 1층 001호 일부호 (장현동)",126.7968224,37.3820076,,경기데이터드림
세븐일레븐거북섬호반점,편의점,,"경기도 시흥시 거북섬로 211, 1층 110호 일부호 (정왕동)",126.6877691,37.3229094,,경기데이터드림
세븐일레븐시흥옥구본점,편의점,,"경기도 시흥시 옥구상가1길 37, 1층 일부호 (정왕동)",126.721025,37.3518777,,경기데이터드림
세븐일레븐월곶풍림점,편의점,,"경기도 시흥시 월곶중앙로70번안길 21, 1층 일부호 (월곶동)",126.7410541,37.3900996,,경기데이터드림
지에스25신천빌라점,편의점,,"경기도 시흥시 신천6길 43, 1층 일부호 (신천동)",126.7773495,37.4372428,,경기데이터드림
세븐일레븐정왕시장길점,편의점,,"경기도 시흥시 정왕천로359번길 30, 1층 (정왕동)",126.7458241,37.3424298,,경기데이터드림
지에스25매화월드점,편의점,,"경기도 시흥시 매화2로 15, 1층 일부호 (매화동)",126.8129883,37.4164446,,경기데이터드림
세븐일레븐배곧시티점,편의점,,"경기도 시흥시 배곧3로 27-7, 1층 101호 (정왕동, 시흥배곧 에스케이뷰)",126.724524,37.377229,,경기데이터드림
씨유(CU)시흥메가점,편의점,,"경기도 시흥시 협력로 281, 메가폴리스 1층 A-110호 일부호 (정왕동)",126.7155402,37.3516251,,경기데이터드림
지에스25은계미림점,편의점,,"경기도 시흥시 은계번영길 25, 미림프라자 112호 일부호 (은행동)",126.8039629,37.4367806,,경기데이터드림
지에스25목감호반점,편의점,,"경기도 시흥시 목감둘레로 90, 1층 111,112호 (산현동)",126.8498684,37.3712873,,경기데이터드림
지에스25검바위초교점,편의점,,"경기도 시흥시 수인로3247번길 70, 1층 일부호 (은행동)",126.7978984,37.4325444,,경기데이터드림
지에스25시흥대은로점,편의점,,"경기도 시흥시 대은로104번길 8-1, 1층 일부호 (은행동)",126.7997388,37.4448949,,경기데이터드림
이마트24R시흥도원점,편의점,,"경기도 시흥시 신흥마을2길 7, 101호 일부호 (신천동, 솔빛마을10차)",126.7774203,37.4381085,,경기데이터드림
지에스25장현포레마제점,편의점,,"경기도 시흥시 황고개로 469, 근린생활시설-1동 1층 6호 일부호 (장곡동, 장현 더 포레마제)",126.789144,37.3745614,,경기데이터드림
지에스은계호수점,편의점,,"경기도 시흥시 은계중앙로 237, 106호 일부호 (은행동)",126.8036257,37.4451071,,경기데이터드림
세븐일레븐시흥서촌점,편의점,,"경기도 시흥시 서촌상가4길 14, 시화프라자 1층 105호 일부호 (정왕동)",126.7319959,37.3456128,,경기데이터드림
이마트24R정왕공원점,편의점,,"경기도 시흥시 봉우재로61번길 9, 103,104호 (정왕동)",126.7452813,37.348159,,경기데이터드림
씨유거북섬금강점,편의점,,"경기도 시흥시 거북섬남로 90, 206동 1층 102호 일부호 (정왕동, 시흥 금강펜테리움 오션베이)",126.690999,37.320624,,경기데이터드림
세븐일레븐정왕원룸점,편의점,,"경기도 시흥시 오동마을로5번길 25, 1층 101호 (정왕동)",126.7446353,37.3529141,,경기데이터드림
이마트24시흥삼미시장점,편의점,,"경기도 시흥시 삼미시장2길 17, 1층 일부호 (신천동)",126.7819703,37.4410476,,경기데이터드림
세븐일레븐 정왕세일점,편의점,,"경기도 시흥시 정왕대로337번안길 2, 1층 102호 (정왕동)",126.7492803,37.34,,경기데이터드림
씨유거북섬더프라임점,편의점,,"경기도 시흥시 거북섬남로 77, 121동 103호 (정왕동, 호반써밋더프라임)",126.6906019,37.3218652,,경기데이터드림
이마트24R군자서희점,편의점,,"경기도 시흥시 군자로273번길 8, 1층 일부호 (거모동)",126.7725888,37.3626168,,경기데이터드림
이마트24R거북섬마리나베이점,편의점,,"경기도 시흥시 거북섬로 104, 1층 140호 일부호 (정왕동)",126.6777752,37.321317,,경기데이터드림
씨유시흥웨이브점,편의점,,"경기도 시흥시 거북섬공원로 27, 1층 일부호 (정왕동)",126.6825335,37.3269475,,경기데이터드림
세븐일레븐정왕봉우재로점,편의점,,"경기도 시흥시 봉우재로36번길 8, 1층 (정왕동)",126.7449788,37.3456693,,경기데이터드림
이마트24배곧로얄점,편의점,,"경기도 시흥시 서울대학로 59-21, 배곧로얄팰리스 테크노1차 1층 185호 일부호 (배곧동)",126.7059932,37.3575735,,경기데이터드림
세븐일레븐시흥MTV점,편의점,,"경기도 시흥시 엠티브이북로 43-26, 101-102호 (정왕동)",126.6888696,37.3318224,,경기데이터드림
이마트24성강해오름점,편의점,,"경기도 시흥시 은계남길 32, 성강해오름 지식산업센터 1층 C105호 일부호 (은행동)",126.798506,37.4304208,,경기데이터드림
씨유장현베스트,편의점,,"경기도 시흥시 장현순환로 81, 근린생활시설1동 지1층 21호 일부호 (장현동, 시흥능곡역 모아미래도 에듀포레)",126.7969159,37.3744096,,경기데이터드림
이마트24시흥오이도점,편의점,,"경기도 시흥시 오이도5길 11, 행운빌딩 1층 일부호 (정왕동)",126.6889929,37.3434599,,경기데이터드림
GS25배곧한라점,편의점,,"경기도 시흥시 배곧1로 27-15, 상가3동 1층 115호 일부호 (배곧동, 한라비발디캠퍼스)",126.7128983,37.3656688,,경기데이터드림
씨유장현서희,편의점,,"경기도 시흥시 장곡남로 35, 근린생활시설-2동 1층 201호 일부호 (장곡동, 서희스타힐즈)",126.7919874,37.3736501,,경기데이터드림
세븐일레븐시흥목감이지움점,편의점,,"경기도 시흥시 목감둘레로 253-7, 이지움 더테라스 2차 1층 113호 일부호 (조남동)",126.8610182,37.3802897,,경기데이터드림
미니스톱배곧한라점,편의점,,"경기도 시흥시 배곧1로 27-16, 1층 109A일부호 (배곧동, 한라비발디캠퍼스2차)",126.712871,37.3617928,,경기데이터드림
세븐일레븐시화큰솔점,편의점,,"경기도 시흥시 큰솔로 29, 1층 일부호 (정왕동)",126.7516012,37.3404744,,경기데이터드림
씨유목감센터점,편의점,,"경기도 시흥시 동서로 1047, 1층 일부호 (조남동)",126.8587828,37.3828195,,경기데이터드림
세븐일레븐시흥능곡역점,편의점,,"경기도 시흥시 능곡번영길 24, 1층 109호 일부호 (능곡동)",126.8074371,37.370064,,경기데이터드림
씨유시흥정왕제일점,편의점,,"경기도 시흥시 마유로 446, 1층 일부호 (정왕동)",126.7424559,37.3540539,,경기데이터드림
씨유배곧지식산업센터점,편의점,,"경기도 시흥시 서울대학로 59-69, 배곧테크노밸리 1층 141호 일부호 (배곧동)",126.7104194,37.3586667,,경기데이터드림
세븐일레븐배곧아브뉴프랑점,편의점,,"경기도 시흥시 서울대학로264번길 25, 시흥배곧 아브뉴프랑 센트럴 블루 1층 121호 일부호 (배곧동)",126.7273257,37.3683599,,경기데이터드림
씨유월곶풍림,편의점,,"경기도 시흥시 월곶중앙로 90, 월곶동풍림1차아파트 상가동 1층 111호 일부호 (월곶동)",126.7357544,37.3902457,,경기데이터드림
세븐일레븐시화본점,편의점,,"경기도 시흥시 서촌상가2길 10, 두원프라자 1층 107호 일부호 (정왕동)",126.7335822,37.3472726,,경기데이터드림
세븐일레븐시흥정왕희망점,편의점,,"경기도 시흥시 군서로 60, 1층 일부호 (정왕동)",126.7459712,37.3469105,,경기데이터드림
씨유뉴목감산현점,편의점,,"경기도 시흥시 산현마을길 25-1, 1층 일부호 (산현동)",126.8447045,37.3754772,,경기데이터드림
이마트24시시흥정왕특급점,편의점,,"경기도 시흥시 큰솔로96번길 1, 1층 일부호 (정왕동)",126.756401,37.3448673,,경기데이터드림
이마트24시흥센트럴점,편의점,,"경기도 시흥시 수인로3312번길 16, T108동 지하2층 A102호 일부호 (대야동, 시흥 센트럴 푸르지오)",126.7902764,37.4413231,,경기데이터드림
세븐일레븐시흥현서점,편의점,,"경기도 시흥시 군자로504번길 7, 보우아파트 상가동 1층 103호 일부호 (거모동)",126.7839034,37.3448477,,경기데이터드림
씨유정왕베스트점,편의점,,"경기도 시흥시 큰솔로7번안길 13-20, 1층 102,103호 (정왕동)",126.7501744,37.3409071,,경기데이터드림
씨유시흥목감점,편의점,,"경기도 시흥시 동서로 1080, 1층 101,102호 (목감동)",126.8602306,37.385252,,경기데이터드림
세븐일레븐(정왕1호점),편의점,,"경기도 시흥시 중심상가1길 14 (정왕동, 114-116호)",126.7348077,37.3433235,,경기데이터드림
씨유시흥목감역점,편의점,,"경기도 시흥시 솔고개길 4-7, 1층 104호 일부호 (목감동)",126.8619813,37.3826024,,경기데이터드림
세븐일레븐시흥장현해솔점,편의점,,"경기도 시흥시 새재로17번길 6, 해솔프라자 1층 103호 일부호 (장현동)",126.8021375,37.381336,,경기데이터드림
씨유배곧로얄2호점,편의점,,"경기도 시흥시 서울대학로278번길 25-8, 다인로얄팰리스 배곧4차 1층 112호 일부호 (배곧동)",126.7288614,37.3694876,,경기데이터드림
씨유배곧로얄1호점,편의점,,"경기도 시흥시 서울대학로278번길 25-24, 다인로얄팰리스 배곧1차 1층 110호 일부호 (배곧동)",126.7296065,37.3695195,,경기데이터드림
씨유정왕군서공원,편의점,,"경기도 시흥시 봉우재로30번길 22, 1층 일부호 (정왕동)",126.7458377,37.3455847,,경기데이터드림
지에스25은계지산점,편의점,,"경기도 시흥시 은계중앙로306번길 36, 1층 106호 일부호 (대야동)",126.7992219,37.4530401,,경기데이터드림
지에스25시흥타운점,편의점,,"경기도 시흥시 시흥대로1056번길 14, 1층 일부호 (은행동)",126.7932244,37.4307589,,경기데이터드림
세븐일레븐오이도옥터점,편의점,,경기도 시흥시 오이도로157번길 4 (정왕동),126.6886637,37.3467747,,경기데이터드림
(주)지에스25정왕큰솔로점,편의점,,"경기도 시흥시 큰솔로96번길 23, 1층 일부호 (정왕동)",126.7577054,37.3430998,,경기데이터드림
